"# of Use","# Terpakai"
"Visibility","Penampakan"
"Visible","Tampak"
"Visible on Catalog Pages on Front-end","Tampak pada Halam Katalog pada Halaman Depan"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Stampel"
"Watermark Default Size","Ukuran Patokan Stampel"
"Watermark Position","Letak Stampel"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Website"
"Websites","Website"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"Year Range","Year Range"
"Yes","Ya"
"Yes/No","Ya/Tidak"
"You cannot delete this attribute","Anda tidak dapat menghapus atribut ini"
"You cannot edit this attribute","Anda tidak dapat merubah atribut ini"
"You cannot remove system attribute from this set.","Anda tidak dapat membuang atribut dari set ini"
"You cannot update this attribute","Anda tidak dapat memperbaharui atribut ini"
"You have no items to compare.","Anda tidak memiliki barang untuk di bandingkan."
"You may also be interested in the following product(s)","Anda mungkin akan tertarik pada produk-produk ini"
"Zoom In","Pebesar"
"Zoom Out","Perkecil"
"[GLOBAL]","[UMUM]"
